2025-06-05 07:04:24,221 - app.woocommerce_api - ERROR - Lỗi upload media: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,221 - app.product_upload_dialog.BulkUploadWorker - ERROR - Error uploading image E:/crawl-site/teealoha.com\dallas-cowboys-hawaiian-shirt\Dallas_Cowboys_Hawaiian_Shirt_Game_Day_Ready.jpg: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,221 - app.product_upload_dialog.BulkUploadWorker - WARNING - Không thể xóa file resize None: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,231 - app.woocommerce_api - ERROR - Lỗi upload media: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,231 - app.product_upload_dialog.BulkUploadWorker - ERROR - Error uploading image E:/crawl-site/teealoha.com\dallas-cowboys-hawaiian-shirt\Dallas_Cowboys_Hawaiian_Shirt_Game_Day_Ready_02.jpg: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,231 - app.product_upload_dialog.BulkUploadWorker - WARNING - Không thể xóa file resize None: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,241 - app.woocommerce_api - ERROR - Lỗi upload media: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,241 - app.product_upload_dialog.BulkUploadWorker - ERROR - Error uploading image E:/crawl-site/teealoha.com\dallas-cowboys-hawaiian-shirt\Dallas_Cowboys_Hawaiian_Shirt_Game_Day_Ready_03.jpg: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,241 - app.product_upload_dialog.BulkUploadWorker - WARNING - Không thể xóa file resize None: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,251 - app.woocommerce_api - ERROR - Lỗi upload media: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,251 - app.product_upload_dialog.BulkUploadWorker - ERROR - Error uploading image E:/crawl-site/teealoha.com\dallas-cowboys-hawaiian-shirt\Dallas_Cowboys_Hawaiian_Shirt_Game_Day_Ready_04.jpg: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,251 - app.product_upload_dialog.BulkUploadWorker - WARNING - Không thể xóa file resize None: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,262 - app.woocommerce_api - ERROR - Lỗi upload media: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,262 - app.product_upload_dialog.BulkUploadWorker - ERROR - Error uploading image E:/crawl-site/teealoha.com\dallas-cowboys-hawaiian-shirt\Dallas_Cowboys_Hawaiian_Shirt_Game_Day_Ready_05.jpg: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,262 - app.product_upload_dialog.BulkUploadWorker - WARNING - Không thể xóa file resize None: _path_exists: path should be string, bytes, os.PathLike or integer, not NoneType
2025-06-05 07:04:24,265 - app.product_upload_dialog.BulkUploadWorker - INFO - Đã tìm thấy WC category ID 21 theo tên 'Dallas Cowboys' cho folder dallas-cowboys-hawaiian-shirt
